"Week.start.date","Ontario","Algoma Public Health Unit","Brant County Health Unit","Chatham-Kent Health Unit","Durham Region Health Department","Eastern Ontario Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Region Health Department","Hamilton Public Health Services","Hastings and Prince Edward Counties Health Unit","Huron Perth Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Public Health","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Region Public Health Department","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Ottawa Public Health","Peel Public Health","Peterborough Public Health","Porcupine Health Unit","Region of Waterloo, Public Health","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Region Public Health"
"2021-06-13","0.90","0.51","0.45","0.70","0.58","1.28","0.70","0.45","0.58","0.45","0.45","1.28","0.70","1.28","0.70","1.28","0.70","0.45","0.51","1.37","1.28","0.58","0.58","0.51","0.45","1.28","0.58","0.70","0.51","1.37","0.51","0.91","0.45","0.70","0.58"
"2021-06-20","0.93","0.50","0.43","0.74","0.57","1.30","0.74","0.43","0.57","0.43","0.43","1.30","0.74","1.30","0.74","1.30","0.74","0.43","0.50","1.47","1.30","0.57","0.57","0.50","0.43","1.30","0.57","0.74","0.50","1.47","0.50","0.94","0.43","0.74","0.57"
"2021-06-27","0.96","0.51","0.43","0.80","0.60","1.33","0.80","0.43","0.60","0.43","0.43","1.33","0.80","1.33","0.80","1.33","0.80","0.43","0.51","1.63","1.33","0.60","0.60","0.51","0.43","1.33","0.60","0.80","0.51","1.63","0.51","0.98","0.43","0.80","0.60"
"2021-07-04","1.03","0.53","0.46","0.91","0.69","1.38","0.91","0.46","0.69","0.46","0.46","1.38","0.91","1.38","0.91","1.38","0.91","0.46","0.53","2.03","1.38","0.69","0.69","0.53","0.46","1.38","0.69","0.91","0.53","2.03","0.53","1.05","0.46","0.91","0.69"
"2021-07-11","1.12","0.59","0.54","1.06","0.87","1.45","1.06","0.54","0.87","0.54","0.54","1.45","1.06","1.45","1.06","1.45","1.06","0.54","0.59","2.50","1.45","0.87","0.87","0.59","0.54","1.45","0.87","1.06","0.59","2.50","0.59","1.13","0.54","1.06","0.87"
"2021-07-18","1.19","0.66","0.62","1.16","1.03","1.52","1.16","0.62","1.03","0.62","0.62","1.52","1.16","1.52","1.16","1.52","1.16","0.62","0.66","2.78","1.52","1.03","1.03","0.66","0.62","1.52","1.03","1.16","0.66","2.78","0.66","1.18","0.62","1.16","1.03"
"2021-07-25","1.22","0.70","0.66","1.22","1.12","1.55","1.22","0.66","1.12","0.66","0.66","1.55","1.22","1.55","1.22","1.55","1.22","0.66","0.70","2.91","1.55","1.12","1.12","0.70","0.66","1.55","1.12","1.22","0.70","2.91","0.70","1.21","0.66","1.22","1.12"
"2021-08-01","1.26","0.74","0.72","1.27","1.23","1.59","1.27","0.72","1.23","0.72","0.72","1.59","1.27","1.59","1.27","1.59","1.27","0.72","0.74","3.02","1.59","1.23","1.23","0.74","0.72","1.59","1.23","1.27","0.74","3.02","0.74","1.23","0.72","1.27","1.23"
"2021-08-08","1.33","0.81","0.83","1.38","1.46","1.67","1.38","0.83","1.46","0.83","0.83","1.67","1.38","1.67","1.38","1.67","1.38","0.83","0.81","3.12","1.67","1.46","1.46","0.81","0.83","1.67","1.46","1.38","0.81","3.12","0.81","1.27","0.83","1.38","1.46"
"2021-08-15","1.36","0.85","0.89","1.43","1.57","1.72","1.43","0.89","1.57","0.89","0.89","1.72","1.43","1.72","1.43","1.72","1.43","0.89","0.85","3.08","1.72","1.57","1.57","0.85","0.89","1.72","1.57","1.43","0.85","3.08","0.85","1.29","0.89","1.43","1.57"
"2021-08-22","1.45","0.98","1.09","1.57","1.83","1.88","1.57","1.09","1.83","1.09","1.09","1.88","1.57","1.88","1.57","1.88","1.57","1.09","0.98","2.56","1.88","1.83","1.83","0.98","1.09","1.88","1.83","1.57","0.98","2.56","0.98","1.34","1.09","1.57","1.83"
"2021-08-29","1.48","1.03","1.16","1.59","1.89","1.94","1.59","1.16","1.89","1.16","1.16","1.94","1.59","1.94","1.59","1.94","1.59","1.16","1.03","2.47","1.94","1.89","1.89","1.03","1.16","1.94","1.89","1.59","1.03","2.47","1.03","1.35","1.16","1.59","1.89"
"2021-09-05","1.50","1.08","1.23","1.61","1.93","1.99","1.61","1.23","1.93","1.23","1.23","1.99","1.61","1.99","1.61","1.99","1.61","1.23","1.08","2.46","1.99","1.93","1.93","1.08","1.23","1.99","1.93","1.61","1.08","2.46","1.08","1.36","1.23","1.61","1.93"
"2021-09-12","1.57","1.22","1.45","1.64","2.01","2.16","1.64","1.45","2.01","1.45","1.45","2.16","1.64","2.16","1.64","2.16","1.64","1.45","1.22","2.50","2.16","2.01","2.01","1.22","1.45","2.16","2.01","1.64","1.22","2.50","1.22","1.39","1.45","1.64","2.01"
"2021-09-19","1.60","1.26","1.52","1.64","2.02","2.21","1.64","1.52","2.02","1.52","1.52","2.21","1.64","2.21","1.64","2.21","1.64","1.52","1.26","2.46","2.21","2.02","2.02","1.26","1.52","2.21","2.02","1.64","1.26","2.46","1.26","1.41","1.52","1.64","2.02"
"2021-09-26","1.62","1.29","1.59","1.64","2.02","2.25","1.64","1.59","2.02","1.59","1.59","2.25","1.64","2.25","1.64","2.25","1.64","1.59","1.29","2.40","2.25","2.02","2.02","1.29","1.59","2.25","2.02","1.64","1.29","2.40","1.29","1.43","1.59","1.64","2.02"
"2021-10-03","1.67","1.32","1.71","1.63","2.02","2.31","1.63","1.71","2.02","1.71","1.71","2.31","1.63","2.31","1.63","2.31","1.63","1.71","1.32","2.26","2.31","2.02","2.02","1.32","1.71","2.31","2.02","1.63","1.32","2.26","1.32","1.48","1.71","1.63","2.02"
"2021-10-10","1.70","1.32","1.77","1.61","2.01","2.33","1.61","1.77","2.01","1.77","1.77","2.33","1.61","2.33","1.61","2.33","1.61","1.77","1.32","2.18","2.33","2.01","2.01","1.32","1.77","2.33","2.01","1.61","1.32","2.18","1.32","1.51","1.77","1.61","2.01"
"2021-10-17","1.76","1.28","1.85","1.54","2.03","2.33","1.54","1.85","2.03","1.85","1.85","2.33","1.54","2.33","1.54","2.33","1.54","1.85","1.28","2.05","2.33","2.03","2.03","1.28","1.85","2.33","2.03","1.54","1.28","2.05","1.28","1.60","1.85","1.54","2.03"
"2021-10-24","1.93","1.06","1.91","1.35","2.17","2.19","1.35","1.91","2.17","1.91","1.91","2.19","1.35","2.19","1.35","2.19","1.35","1.91","1.06","1.89","2.19","2.17","2.17","1.06","1.91","2.19","2.17","1.35","1.06","1.89","1.06","1.89","1.91","1.35","2.17"
"2021-10-31","1.97","1.00","1.91","1.30","2.24","2.14","1.30","1.91","2.24","1.91","1.91","2.14","1.30","2.14","1.30","2.14","1.30","1.91","1.00","1.87","2.14","2.24","2.24","1.00","1.91","2.14","2.24","1.30","1.00","1.87","1.00","1.99","1.91","1.30","2.24"
"2021-11-07","2.02","0.93","1.90","1.25","2.31","2.08","1.25","1.90","2.31","1.90","1.90","2.08","1.25","2.08","1.25","2.08","1.25","1.90","0.93","1.85","2.08","2.31","2.31","0.93","1.90","2.08","2.31","1.25","0.93","1.85","0.93","2.08","1.90","1.25","2.31"
"2021-11-14","2.07","0.87","1.89","1.20","2.39","2.03","1.20","1.89","2.39","1.89","1.89","2.03","1.20","2.03","1.20","2.03","1.20","1.89","0.87","1.82","2.03","2.39","2.39","0.87","1.89","2.03","2.39","1.20","0.87","1.82","0.87","2.19","1.89","1.20","2.39"
"2021-11-21","2.11","0.81","1.87","1.16","2.48","1.98","1.16","1.87","2.48","1.87","1.87","1.98","1.16","1.98","1.16","1.98","1.16","1.87","0.81","1.80","1.98","2.48","2.48","0.81","1.87","1.98","2.48","1.16","0.81","1.80","0.81","2.29","1.87","1.16","2.48"
"2021-11-28","2.28","0.65","1.79","1.11","2.89","1.83","1.11","1.79","2.89","1.79","1.79","1.83","1.11","1.83","1.11","1.83","1.11","1.79","0.65","1.78","1.83","2.89","2.89","0.65","1.79","1.83","2.89","1.11","0.65","1.78","0.65","2.69","1.79","1.11","2.89"
"2021-12-05","2.32","0.63","1.77","1.13","3.00","1.82","1.13","1.77","3.00","1.77","1.77","1.82","1.13","1.82","1.13","1.82","1.13","1.77","0.63","1.83","1.82","3.00","3.00","0.63","1.77","1.82","3.00","1.13","0.63","1.83","0.63","2.77","1.77","1.13","3.00"
"2021-12-12","2.36","0.63","1.76","1.16","3.10","1.81","1.16","1.76","3.10","1.76","1.76","1.81","1.16","1.81","1.16","1.81","1.16","1.76","0.63","1.91","1.81","3.10","3.10","0.63","1.76","1.81","3.10","1.16","0.63","1.91","0.63","2.84","1.76","1.16","3.10"
"2021-12-19","2.41","0.63","1.74","1.27","3.29","1.83","1.27","1.74","3.29","1.74","1.74","1.83","1.27","1.83","1.27","1.83","1.27","1.74","0.63","2.15","1.83","3.29","3.29","0.63","1.74","1.83","3.29","1.27","0.63","2.15","0.63","2.90","1.74","1.27","3.29"
"2021-12-26","2.43","0.64","1.74","1.34","3.37","1.86","1.34","1.74","3.37","1.74","1.74","1.86","1.34","1.86","1.34","1.86","1.34","1.74","0.64","2.27","1.86","3.37","3.37","0.64","1.74","1.86","3.37","1.34","0.64","2.27","0.64","2.91","1.74","1.34","3.37"
"2022-01-02","2.44","0.69","1.74","1.56","3.49","1.93","1.56","1.74","3.49","1.74","1.74","1.93","1.56","1.93","1.56","1.93","1.56","1.74","0.69","2.51","1.93","3.49","3.49","0.69","1.74","1.93","3.49","1.56","0.69","2.51","0.69","2.88","1.74","1.56","3.49"
"2022-01-09","2.44","0.71","1.74","1.70","3.54","1.98","1.70","1.74","3.54","1.74","1.74","1.98","1.70","1.98","1.70","1.98","1.70","1.74","0.71","2.63","1.98","3.54","3.54","0.71","1.74","1.98","3.54","1.70","0.71","2.63","0.71","2.85","1.74","1.70","3.54"
"2022-01-16","2.44","0.74","1.74","1.87","3.56","2.02","1.87","1.74","3.56","1.74","1.74","2.02","1.87","2.02","1.87","2.02","1.87","1.74","0.74","2.72","2.02","3.56","3.56","0.74","1.74","2.02","3.56","1.87","0.74","2.72","0.74","2.81","1.74","1.87","3.56"
"2022-01-23","2.43","0.81","1.74","2.26","3.58","2.13","2.26","1.74","3.58","1.74","1.74","2.13","2.26","2.13","2.26","2.13","2.26","1.74","0.81","2.85","2.13","3.58","3.58","0.81","1.74","2.13","3.58","2.26","0.81","2.85","0.81","2.72","1.74","2.26","3.58"
"2022-01-30","2.39","0.87","1.70","2.69","3.49","2.26","2.69","1.70","3.49","1.70","1.70","2.26","2.69","2.26","2.69","2.26","2.69","1.70","0.87","2.80","2.26","3.49","3.49","0.87","1.70","2.26","3.49","2.69","0.87","2.80","0.87","2.56","1.70","2.69","3.49"
"2022-02-06","2.37","0.88","1.68","2.77","3.43","2.30","2.77","1.68","3.43","1.68","1.68","2.30","2.77","2.30","2.77","2.30","2.77","1.68","0.88","2.74","2.30","3.43","3.43","0.88","1.68","2.30","3.43","2.77","0.88","2.74","0.88","2.51","1.68","2.77","3.43"
"2022-02-13","2.35","0.87","1.65","2.82","3.34","2.32","2.82","1.65","3.34","1.65","1.65","2.32","2.82","2.32","2.82","2.32","2.82","1.65","0.87","2.66","2.32","3.34","3.34","0.87","1.65","2.32","3.34","2.82","0.87","2.66","0.87","2.46","1.65","2.82","3.34"
"2022-02-20","2.32","0.84","1.62","2.85","3.24","2.33","2.85","1.62","3.24","1.62","1.62","2.33","2.85","2.33","2.85","2.33","2.85","1.62","0.84","2.57","2.33","3.24","3.24","0.84","1.62","2.33","3.24","2.85","0.84","2.57","0.84","2.42","1.62","2.85","3.24"
"2022-02-27","2.25","0.76","1.53","2.84","3.01","2.32","2.84","1.53","3.01","1.53","1.53","2.32","2.84","2.32","2.84","2.32","2.84","1.53","0.76","2.37","2.32","3.01","3.01","0.76","1.53","2.32","3.01","2.84","0.76","2.37","0.76","2.34","1.53","2.84","3.01"
"2022-03-06","2.04","0.52","1.27","2.61","2.30","2.14","2.61","1.27","2.30","1.27","1.27","2.14","2.61","2.14","2.61","2.14","2.61","1.27","0.52","1.81","2.14","2.30","2.30","0.52","1.27","2.14","2.30","2.61","0.52","1.81","0.52","2.14","1.27","2.61","2.30"
"2022-03-13","1.99","0.48","1.22","2.56","2.16","2.09","2.56","1.22","2.16","1.22","1.22","2.09","2.56","2.09","2.56","2.09","2.56","1.22","0.48","1.70","2.09","2.16","2.16","0.48","1.22","2.09","2.16","2.56","0.48","1.70","0.48","2.10","1.22","2.56","2.16"
"2022-03-20","1.94","0.44","1.17","2.49","2.03","2.04","2.49","1.17","2.03","1.17","1.17","2.04","2.49","2.04","2.49","2.04","2.49","1.17","0.44","1.60","2.04","2.03","2.03","0.44","1.17","2.04","2.03","2.49","0.44","1.60","0.44","2.05","1.17","2.49","2.03"
"2022-03-27","1.89","0.41","1.12","2.43","1.90","1.99","2.43","1.12","1.90","1.12","1.12","1.99","2.43","1.99","2.43","1.99","2.43","1.12","0.41","1.50","1.99","1.90","1.90","0.41","1.12","1.99","1.90","2.43","0.41","1.50","0.41","2.01","1.12","2.43","1.90"
"2022-04-03","1.83","0.39","1.07","2.35","1.78","1.94","2.35","1.07","1.78","1.07","1.07","1.94","2.35","1.94","2.35","1.94","2.35","1.07","0.39","1.41","1.94","1.78","1.78","0.39","1.07","1.94","1.78","2.35","0.39","1.41","0.39","1.96","1.07","2.35","1.78"
"2022-04-10","1.78","0.36","1.02","2.27","1.67","1.90","2.27","1.02","1.67","1.02","1.02","1.90","2.27","1.90","2.27","1.90","2.27","1.02","0.36","1.32","1.90","1.67","1.67","0.36","1.02","1.90","1.67","2.27","0.36","1.32","0.36","1.90","1.02","2.27","1.67"
"2022-04-17","1.72","0.34","0.98","2.19","1.56","1.86","2.19","0.98","1.56","0.98","0.98","1.86","2.19","1.86","2.19","1.86","2.19","0.98","0.34","1.25","1.86","1.56","1.56","0.34","0.98","1.86","1.56","2.19","0.34","1.25","0.34","1.84","0.98","2.19","1.56"
"2022-04-24","1.66","0.33","0.94","2.12","1.47","1.83","2.12","0.94","1.47","0.94","0.94","1.83","2.12","1.83","2.12","1.83","2.12","0.94","0.33","1.18","1.83","1.47","1.47","0.33","0.94","1.83","1.47","2.12","0.33","1.18","0.33","1.78","0.94","2.12","1.47"
"2022-05-01","1.60","0.31","0.90","2.05","1.38","1.79","2.05","0.90","1.38","0.90","0.90","1.79","2.05","1.79","2.05","1.79","2.05","0.90","0.31","1.11","1.79","1.38","1.38","0.31","0.90","1.79","1.38","2.05","0.31","1.11","0.31","1.71","0.90","2.05","1.38"
"2022-05-08","1.49","0.30","0.83","1.93","1.23","1.74","1.93","0.83","1.23","0.83","0.83","1.74","1.93","1.74","1.93","1.74","1.93","0.83","0.30","1.01","1.74","1.23","1.23","0.30","0.83","1.74","1.23","1.93","0.30","1.01","0.30","1.57","0.83","1.93","1.23"
"2022-05-15","1.44","0.29","0.80","1.88","1.17","1.71","1.88","0.80","1.17","0.80","0.80","1.71","1.88","1.71","1.88","1.71","1.88","0.80","0.29","0.97","1.71","1.17","1.17","0.29","0.80","1.71","1.17","1.88","0.29","0.97","0.29","1.50","0.80","1.88","1.17"
"2022-05-22","1.34","0.28","0.75","1.79","1.06","1.66","1.79","0.75","1.06","0.75","0.75","1.66","1.79","1.66","1.79","1.66","1.79","0.75","0.28","0.90","1.66","1.06","1.06","0.28","0.75","1.66","1.06","1.79","0.28","0.90","0.28","1.37","0.75","1.79","1.06"
"2022-05-29","1.29","0.28","0.73","1.74","1.01","1.63","1.74","0.73","1.01","0.73","0.73","1.63","1.74","1.63","1.74","1.63","1.74","0.73","0.28","0.88","1.63","1.01","1.01","0.28","0.73","1.63","1.01","1.74","0.28","0.88","0.28","1.30","0.73","1.74","1.01"
"2022-06-05","1.24","0.27","0.71","1.70","0.97","1.60","1.70","0.71","0.97","0.71","0.71","1.60","1.70","1.60","1.70","1.60","1.70","0.71","0.27","0.87","1.60","0.97","0.97","0.27","0.71","1.60","0.97","1.70","0.27","0.87","0.27","1.25","0.71","1.70","0.97"
"2022-06-12","1.20","0.27","0.69","1.65","0.93","1.56","1.65","0.69","0.93","0.69","0.69","1.56","1.65","1.56","1.65","1.56","1.65","0.69","0.27","0.86","1.56","0.93","0.93","0.27","0.69","1.56","0.93","1.65","0.27","0.86","0.27","1.19","0.69","1.65","0.93"
"2022-06-19","1.08","0.25","0.64","1.49","0.85","1.45","1.49","0.64","0.85","0.64","0.64","1.45","1.49","1.45","1.49","1.45","1.49","0.64","0.25","0.88","1.45","0.85","0.85","0.25","0.64","1.45","0.85","1.49","0.25","0.88","0.25","1.05","0.64","1.49","0.85"
"2022-06-26","1.05","0.24","0.63","1.44","0.83","1.41","1.44","0.63","0.83","0.63","0.63","1.41","1.44","1.41","1.44","1.41","1.44","0.63","0.24","0.91","1.41","0.83","0.83","0.24","0.63","1.41","0.83","1.44","0.24","0.91","0.24","1.02","0.63","1.44","0.83"
"2022-07-03","0.91","0.20","0.60","1.17","0.77","1.15","1.17","0.60","0.77","0.60","0.60","1.15","1.17","1.15","1.17","1.15","1.17","0.60","0.20","1.20","1.15","0.77","0.77","0.20","0.60","1.15","0.77","1.17","0.20","1.20","0.20","0.90","0.60","1.17","0.77"
"2022-07-10","0.89","0.19","0.60","1.12","0.76","1.10","1.12","0.60","0.76","0.60","0.60","1.10","1.12","1.10","1.12","1.10","1.12","0.60","0.19","1.28","1.10","0.76","0.76","0.19","0.60","1.10","0.76","1.12","0.19","1.28","0.19","0.88","0.60","1.12","0.76"
"2022-07-17","0.87","0.19","0.59","1.07","0.76","1.05","1.07","0.59","0.76","0.59","0.59","1.05","1.07","1.05","1.07","1.05","1.07","0.59","0.19","1.37","1.05","0.76","0.76","0.19","0.59","1.05","0.76","1.07","0.19","1.37","0.19","0.86","0.59","1.07","0.76"
"2022-07-24","0.85","0.19","0.59","1.02","0.75","1.00","1.02","0.59","0.75","0.59","0.59","1.00","1.02","1.00","1.02","1.00","1.02","0.59","0.19","1.47","1.00","0.75","0.75","0.19","0.59","1.00","0.75","1.02","0.19","1.47","0.19","0.84","0.59","1.02","0.75"
"2022-07-31","0.80","0.18","0.59","0.93","0.74","0.92","0.93","0.59","0.74","0.59","0.59","0.92","0.93","0.92","0.93","0.92","0.93","0.59","0.18","1.67","0.92","0.74","0.74","0.18","0.59","0.92","0.74","0.93","0.18","1.67","0.18","0.80","0.59","0.93","0.74"
"2022-08-07","0.78","0.18","0.59","0.89","0.74","0.89","0.89","0.59","0.74","0.59","0.59","0.89","0.89","0.89","0.89","0.89","0.89","0.59","0.18","1.76","0.89","0.74","0.74","0.18","0.59","0.89","0.74","0.89","0.18","1.76","0.18","0.78","0.59","0.89","0.74"
"2022-08-14","0.76","0.18","0.59","0.86","0.73","0.86","0.86","0.59","0.73","0.59","0.59","0.86","0.86","0.86","0.86","0.86","0.86","0.59","0.18","1.84","0.86","0.73","0.73","0.18","0.59","0.86","0.73","0.86","0.18","1.84","0.18","0.76","0.59","0.86","0.73"
"2022-08-21","0.74","0.18","0.58","0.83","0.72","0.84","0.83","0.58","0.72","0.58","0.58","0.84","0.83","0.84","0.83","0.84","0.83","0.58","0.18","1.90","0.84","0.72","0.72","0.18","0.58","0.84","0.72","0.83","0.18","1.90","0.18","0.73","0.58","0.83","0.72"
"2022-08-28","0.67","0.19","0.57","0.75","0.68","0.79","0.75","0.57","0.68","0.57","0.57","0.79","0.75","0.79","0.75","0.79","0.75","0.57","0.19","1.93","0.79","0.68","0.68","0.19","0.57","0.79","0.68","0.75","0.19","1.93","0.19","0.64","0.57","0.75","0.68"
"2022-09-04","0.58","0.24","0.55","0.68","0.61","0.78","0.68","0.55","0.61","0.55","0.55","0.78","0.68","0.78","0.68","0.78","0.68","0.55","0.24","1.69","0.78","0.61","0.61","0.24","0.55","0.78","0.61","0.68","0.24","1.69","0.24","0.52","0.55","0.68","0.61"
"2022-09-11","0.56","0.25","0.54","0.66","0.59","0.78","0.66","0.54","0.59","0.54","0.54","0.78","0.66","0.78","0.66","0.78","0.66","0.54","0.25","1.60","0.78","0.59","0.59","0.25","0.54","0.78","0.59","0.66","0.25","1.60","0.25","0.49","0.54","0.66","0.59"
"2022-09-18","0.52","0.28","0.52","0.63","0.55","0.79","0.63","0.52","0.55","0.52","0.52","0.79","0.63","0.79","0.63","0.79","0.63","0.52","0.28","1.41","0.79","0.55","0.55","0.28","0.52","0.79","0.55","0.63","0.28","1.41","0.28","0.44","0.52","0.63","0.55"
"2022-09-25","0.49","0.30","0.49","0.60","0.52","0.79","0.60","0.49","0.52","0.49","0.49","0.79","0.60","0.79","0.60","0.79","0.60","0.49","0.30","1.24","0.79","0.52","0.52","0.30","0.49","0.79","0.52","0.60","0.30","1.24","0.30","0.40","0.49","0.60","0.52"
"2022-10-02","0.45","0.31","0.42","0.54","0.49","0.78","0.54","0.42","0.49","0.42","0.42","0.78","0.54","0.78","0.54","0.78","0.54","0.42","0.31","0.97","0.78","0.49","0.49","0.31","0.42","0.78","0.49","0.54","0.31","0.97","0.31","0.37","0.42","0.54","0.49"
"2022-10-09","0.44","0.29","0.38","0.51","0.49","0.75","0.51","0.38","0.49","0.38","0.38","0.75","0.51","0.75","0.51","0.75","0.51","0.38","0.29","0.87","0.75","0.49","0.49","0.29","0.38","0.75","0.49","0.51","0.29","0.87","0.29","0.36","0.38","0.51","0.49"
"2022-10-16","0.43","0.26","0.32","0.46","0.50","0.70","0.46","0.32","0.50","0.32","0.32","0.70","0.46","0.70","0.46","0.70","0.46","0.32","0.26","0.77","0.70","0.50","0.50","0.26","0.32","0.70","0.50","0.46","0.26","0.77","0.26","0.37","0.32","0.46","0.50"
"2022-10-23","0.42","0.21","0.26","0.39","0.53","0.60","0.39","0.26","0.53","0.26","0.26","0.60","0.39","0.60","0.39","0.60","0.39","0.26","0.21","0.70","0.60","0.53","0.53","0.21","0.26","0.60","0.53","0.39","0.21","0.70","0.21","0.39","0.26","0.39","0.53"
"2022-10-30","0.42","0.20","0.24","0.38","0.53","0.58","0.38","0.24","0.53","0.24","0.24","0.58","0.38","0.58","0.38","0.58","0.38","0.24","0.20","0.69","0.58","0.53","0.53","0.20","0.24","0.58","0.53","0.38","0.20","0.69","0.20","0.40","0.24","0.38","0.53"
"2022-11-06","0.41","0.18","0.23","0.36","0.53","0.55","0.36","0.23","0.53","0.23","0.23","0.55","0.36","0.55","0.36","0.55","0.36","0.23","0.18","0.68","0.55","0.53","0.53","0.18","0.23","0.55","0.53","0.36","0.18","0.68","0.18","0.40","0.23","0.36","0.53"
"2022-11-13","0.37","0.14","0.20","0.29","0.50","0.44","0.29","0.20","0.50","0.20","0.20","0.44","0.29","0.44","0.29","0.44","0.29","0.20","0.14","0.68","0.44","0.50","0.50","0.14","0.20","0.44","0.50","0.29","0.14","0.68","0.14","0.38","0.20","0.29","0.50"
"2022-11-20","0.35","0.13","0.19","0.28","0.49","0.42","0.28","0.19","0.49","0.19","0.19","0.42","0.28","0.42","0.28","0.42","0.28","0.19","0.13","0.69","0.42","0.49","0.49","0.13","0.19","0.42","0.49","0.28","0.13","0.69","0.13","0.36","0.19","0.28","0.49"
"2022-11-27","0.31","0.11","0.17","0.24","0.45","0.35","0.24","0.17","0.45","0.17","0.17","0.35","0.24","0.35","0.24","0.35","0.24","0.17","0.11","0.73","0.35","0.45","0.45","0.11","0.17","0.35","0.45","0.24","0.11","0.73","0.11","0.32","0.17","0.24","0.45"
"2022-12-04","0.30","0.10","0.17","0.23","0.43","0.33","0.23","0.17","0.43","0.17","0.17","0.33","0.23","0.33","0.23","0.33","0.23","0.17","0.10","0.74","0.33","0.43","0.43","0.10","0.17","0.33","0.43","0.23","0.10","0.74","0.10","0.31","0.17","0.23","0.43"
"2022-12-11","0.28","0.10","0.16","0.21","0.42","0.31","0.21","0.16","0.42","0.16","0.16","0.31","0.21","0.31","0.21","0.31","0.21","0.16","0.10","0.76","0.31","0.42","0.42","0.10","0.16","0.31","0.42","0.21","0.10","0.76","0.10","0.29","0.16","0.21","0.42"
"2022-12-18","0.27","0.09","0.16","0.20","0.41","0.30","0.20","0.16","0.41","0.16","0.16","0.30","0.20","0.30","0.20","0.30","0.20","0.16","0.09","0.78","0.30","0.41","0.41","0.09","0.16","0.30","0.41","0.20","0.09","0.78","0.09","0.28","0.16","0.20","0.41"
"2022-12-25","0.25","0.08","0.15","0.19","0.38","0.28","0.19","0.15","0.38","0.15","0.15","0.28","0.19","0.28","0.19","0.28","0.19","0.15","0.08","0.83","0.28","0.38","0.38","0.08","0.15","0.28","0.38","0.19","0.08","0.83","0.08","0.25","0.15","0.19","0.38"
